episode,maker_reward,taker_reward
0,-20.902561685234364,-4.481663162804727
1,6.567261030351837,-4.447894597611156
2,1.2098838535218137,-4.515113569392097
3,6.670715821537596,-4.486126024585672
4,-19.57171086556946,-4.4788249249492385
5,27.768651338445792,-4.420721496638868
6,9.098582816141825,-4.490997694556982
7,-2.360177237384004,-4.517073889325929
8,-39.30143920573362,-4.430219729656066
9,30.99954376599547,-4.431384950857446
10,13.100483344128019,-4.493281612906718
11,84.48232553906827,-4.504429938871822
12,-18.46573714768216,-4.434833655794527
13,-4.535690198220391,-4.542731712361957
14,-91.01748361396939,-4.56267674807457
15,2.4589806778514247,-4.493919062518954
16,4.068252566926613,-4.464133660210084
17,-1.4888865710962789,-4.513138407022927
18,-17.143649125684224,-4.475363431699392
19,-28.15831114490033,-4.456793663142827
20,0.560225825542005,-4.496931890488514
21,90.99179029018688,-4.536985296144377
22,0.4237290162782804,-4.536269137720611
23,7.043218759640915,-4.494885131759483
24,-8.619251221013531,-4.523054939322588
25,-43.82746897342413,-4.121510803143122
26,29.919984160469888,-4.456453781397234
27,27.78539762471135,-4.505770771638944
28,13.002735867179704,-4.479887348683725
29,32.585973647381905,-4.499997007140625
30,66.6100200658468,-4.547072227450789
31,-12.956611589779508,-4.523395471710073
32,0.5960625997556946,-4.501202241025472
33,6.33439672927726,-4.484435141708209
34,-26.38405020449929,-4.482322082301879
35,38.919190190084684,-4.422511508291179
36,32.61840536940195,-4.528919935905336
37,8.726395760198841,-4.487271902999342
38,80.93540162030718,-4.60051907532096
39,34.63427758554555,-4.468203571741391
40,141.32393498017518,-4.560209210054071
41,216.0896225465635,-4.533547979477942
42,7.612354139793547,-4.499758659900127
43,18.343948130704742,-4.528195893870122
44,-22.807253118237846,-4.433861628422435
45,15.032986654109079,-4.4834594083864046
46,16.119599396667766,-4.51030607385908
47,46.87621096466556,-4.457008028359824
48,71.76724558403998,-4.692008833291563
49,263.80224666676787,-4.558109364004978
50,113.382917896263,-4.55934488503516
51,0.00018000000000000004,-4.443409255592824
52,53.64998340775113,-4.460928530325583
53,172.69604538382475,-4.630642808895505
54,291.88808192069604,-4.816331754338718
55,15.807888438673176,-4.444407224883458
56,-6.016462279658952,-4.46904767442601
57,54.35603313570934,-4.465254554036046
58,-12.103903009268338,-4.4842476994261125
59,54.38633154092138,-4.432011773238205
60,-1.565003800680101,-4.503567757098721
61,44.39243997646734,-4.439090458183755
62,48.60848330909382,-4.423151223991871
63,27.09844372735128,-4.455208335324739
64,-2.6077825082124453,-4.541613394236431
65,-1010.9171817729646,232.55404201208907
66,25.23573598430996,-4.468746728626984
67,16.8924956272843,-4.48696996471793
68,15.796960375610903,-4.4292402523860535
69,18.283089466744325,-4.513702362698378
70,8.79983803437712,-4.4927757885484025
71,2.152996931547232,-4.4530377401275905
72,80.72410929154951,-4.398100426208066
73,-18.336434588868034,-4.483259379604077
74,14.86127850978104,-4.4748677374188475
75,12.255016552529336,-4.481729585991921
76,-20.18647985303153,-4.438035187116843
77,200.1867684552342,-4.517272587700264
78,-8.304478307365509,-136.10384663746694
79,622.4367151380027,-5.364231925278106
80,17.268672783161232,-4.513439279976359
81,-0.7280241537894365,-4.477386702086619
82,-12.272379242148087,-4.565368656543558
83,35.812864646394566,-4.456481031445603
84,24.926482987640732,-4.387011072296786
85,143.68913488094785,-4.433133175785026
86,3.096452257253487,-4.463226543773622
87,-31.131759607658356,-4.59852216412975
88,8.290396271291828,-4.474412047476345
89,-49.99663294579193,-4.5264313472548
90,27.971231355432764,-4.47311086419077
91,25.81955952270176,-4.502192179867593
92,-77.48812583036441,-4.467627585229701
93,-109.54001577080622,-4.386601705475022
94,4.013258156039632,-4.386860302050041
95,84.75256893073734,-4.594100819331302
96,149.176755264786,-4.39086070053757
97,62.903641287904115,-4.406825048835443
98,0.8155694634272953,-4.324055459400973
99,12.426598471214907,-4.466422148776447
100,-25.967331464886477,-4.473443782516623
101,16.44150621808296,-4.484482252643789
102,3.370242960903933,-4.503984685473229
103,8.922365660358716,-4.508991930786447
104,1.2521523713839953,-4.440296148601845
105,0.00018000000000000004,-4.389529730492478
106,165.3195970343365,-4.15086132686105
107,5.274979194279886,-4.506527771095883
108,24.346302626389008,-4.506773423755356
109,25.49204936868922,-4.49693023266105
110,2.7375020202528693,-4.513118292895437
111,-18.945530331674618,-4.465400878349459
112,63.83336765669291,-4.527984095803342
113,-1.6716311261588714,-4.427626795375773
114,5.079585576552627,-4.493497300689315
115,11.508546264509308,-4.480323958479149
116,-50.48521974175134,-4.47120517868373
117,-21.38915577210516,-4.541089326393598
118,29.485190412304547,-4.524660853464186
119,8.742873962114926,-4.481560742035481
120,116.91274257991307,-4.376446560009671
121,-24.68288780963366,-4.435482622641168
122,33.279316858860206,-4.475202564365841
123,14.905088199636971,-4.488075893959299
124,-80.52971886075629,-4.652724526769479
125,49.04959908073249,-4.45972924666881
126,-60.180610307891115,-4.642236848417642
127,40.142527434710956,-4.464626808147851
128,24.339217847811604,-4.472853157572306
129,59.14478060104872,-4.4697208150307155
130,93.42802215425048,-4.473006487409557
131,6.920951934021887,-4.496753014930821
132,13.955832197365845,-4.544129390008966
133,-210.59316676908648,-4.805761709374341
134,2.6234192777460574,-4.5049108158134334
135,-15.872927134070414,-4.486327069809988
136,20.154793112964203,-4.466680694712488
137,-102.7569234446898,-4.537568317068481
138,21.77007681154093,-4.433303092973686
139,6.065791217668136,-4.492629759955426
140,-30.527174127793902,-4.54475417665319
141,-76.01768787449183,-4.404399869011892
142,22.33912639827484,-4.465223821609921
143,-33.82842477247938,-4.526612650385513
144,2.589039025312055,-4.4860903260902765
145,34.14389053518886,-4.498611261012872
146,42.64185430993918,-4.433749549204967
147,9.567678523893987,-4.505949772852658
148,-22.075438138686813,-4.438722966373348
149,18.893974535422853,-4.454562409153552
150,-13.818394972859313,-4.489472652163726
151,24.168635857961977,-4.57250272862397
152,-1.1122363862120306,-4.489605155602388
153,20.79408248698137,-4.583877015761579
154,12.324250576977443,-4.48562456701181
155,4.741533124234837,-4.517102735341845
156,-16.638812753657437,-4.533512869542438
157,88.68652354921342,-4.550035010534243
158,-53.40769641803215,-4.471502592186602
159,32.69939560739037,-4.5138017883221195
160,-45.34368349640472,-4.446087774485862
161,30.215183934910534,-4.51426592850604
162,26.49082885445916,-4.485502353144325
163,71.54498186868568,-4.481749661381602
164,27.203157369010544,-4.551240623788757
165,25.71115778212802,-4.526214089790481
166,84.50148759366373,-4.426445115813689
167,91.11501217663412,-4.514458705109169
168,70.66708148288782,-4.435387687775764
169,47.62708717063407,-4.783635349934027
170,-9.478335132261636,-4.591408685513713
171,100.85544517949145,-4.576149493842819
172,-5.875966780245083,-4.475655335177881
173,-5.396027579546544,-4.489091022002655
174,56.38810177739399,-4.444863031276194
175,-16.941292791129133,-4.486370129610824
176,35.92488885468285,-4.469883562713188
177,6.755986864180769,-4.49418517803933
178,18.778744295403644,-4.484989275104423
179,64.07800494803092,-4.518399793665571
180,43.959736356074416,-4.558583413596561
181,16.51055678276035,-4.5009044717931195
182,73.68755189038362,-4.755185253009681
183,22.668650904677143,-4.472471822328434
184,15.041590116157954,-4.4579940217125245
185,90.88602420001425,-4.400389497851933
186,177.12358089449015,-4.608796057943103
187,18.330848142335174,-4.477025829663061
188,-18.0059286308967,-4.543109462426483
189,33.73152860855904,-4.448542503348991
190,-299.70324052354215,-4.412102179614167
191,10.710810761523174,-4.521053500713896
192,-60.05107582576852,-4.468213149571128
193,-28.63554156116905,-4.485978368222753
194,18.661400205308464,-4.4485956936605335
195,-8.684461030236452,-4.530173732572491
196,176.06396795245476,-4.626485241681185
197,0.3883120166597734,-4.459401859869602
198,-63.45528872893852,-4.71732587238428
199,21.25116697020095,-4.51078418679799
